"","yearmonth","count_with_imp_rough"
"1",199601,160
"2",199602,167
"3",199603,175
"4",199604,170
"5",199605,175
"6",199606,181
"7",199607,156
"8",199608,124
"9",199609,122
"10",199610,138
"11",199611,156
"12",199612,185
"13",199701,210
"14",199702,225
"15",199703,220
"16",199704,225
"17",199705,231
"18",199706,255
"19",199707,232
"20",199708,237
"21",199709,244
"22",199710,271
"23",199711,300
"24",199712,239
"25",199801,236
"26",199802,279
"27",199803,285
"28",199804,291
"29",199805,302
"30",199806,319
"31",199807,315
"32",199808,283
"33",199809,361
"34",199810,359
"35",199811,390
"36",199812,329
"37",199901,278
"38",199902,382
"39",199903,384
"40",199904,386
"41",199905,421
"42",199906,357
"43",199907,343
"44",199908,400
"45",199909,327
"46",199910,391
"47",199911,455
"48",199912,480
"49",200001,491
"50",200002,537
"51",200003,649
"52",200004,616
"53",200005,559
"54",200006,583
"55",200007,569
"56",200008,567
"57",200009,485
"58",200010,572
"59",200011,521
"60",200012,484
"61",200101,573
"62",200102,510
"63",200103,521
"64",200104,511
"65",200105,508
"66",200106,516
"67",200107,495
"68",200108,474
"69",200109,237
"70",200110,484
"71",200111,464
"72",200112,469
"73",200201,450
"74",200202,443
"75",200203,499
"76",200204,483
"77",200205,475
"78",200206,437
"79",200207,445
"80",200208,470
"81",200209,411
"82",200210,435
"83",200211,429
"84",200212,433
"85",200301,393
"86",200302,417
"87",200303,399
"88",200304,413
"89",200305,431
"90",200306,499
"91",200307,468
"92",200308,447
"93",200309,476
"94",200310,484
"95",200311,484
"96",200312,467
"97",200401,441
"98",200402,573
"99",200403,588
"100",200404,565
"101",200405,584
"102",200406,537
"103",200407,484
"104",200408,521
"105",200409,475
"106",200410,497
"107",200411,522
"108",200412,526
"109",200501,529
"110",200502,523
"111",200503,557
"112",200504,567
"113",200505,565
"114",200506,546
"115",200507,489
"116",200508,547
"117",200509,531
"118",200510,615
"119",200511,583
"120",200512,589
"121",200601,598
"122",200602,654
"123",200603,681
"124",200604,667
"125",200605,722
"126",200606,701
"127",200607,654
"128",200608,679
"129",200609,657
"130",200610,686
"131",200611,670
"132",200612,634
"133",200701,652
"134",200702,708
"135",200703,742
"136",200704,762
"137",200705,798
"138",200706,825
"139",200707,815
"140",200708,935
"141",200709,880
"142",200710,886
"143",200711,902
"144",200712,936
"145",200801,925
"146",200802,1048
"147",200803,1005
"148",200804,991
"149",200805,1009
"150",200806,992
"151",200807,970
"152",200808,1005
"153",200809,984
"154",200810,989
"155",200811,947
"156",200812,904
"157",200901,839
"158",200902,845
"159",200903,825
"160",200904,864
"161",200905,919
"162",200906,921
"163",200907,817
"164",200908,878
"165",200909,839
"166",200910,843
"167",200911,850
"168",200912,811
"169",201001,659
"170",201002,744
"171",201003,717
"172",201004,709
"173",201005,841
"174",201006,797
"175",201007,770
"176",201008,833
"177",201009,788
"178",201010,786
"179",201011,818
"180",201012,838
"181",201101,811
"182",201102,806
"183",201103,882
"184",201104,865
"185",201105,896
"186",201106,845
"187",201107,838
"188",201108,942
"189",201109,888
"190",201110,906
"191",201111,845
"192",201112,832
"193",201201,787
"194",201202,838
"195",201203,825
"196",201204,788
"197",201205,803
"198",201206,789
"199",201207,794
"200",201208,789
"201",201209,752
"202",201210,747
"203",201211,774
"204",201212,751
"205",201301,760
"206",201302,799
"207",201303,806
"208",201304,845
"209",201305,855
"210",201306,841
"211",201307,864
"212",201308,886
"213",201309,857
"214",201310,898
"215",201311,909
"216",201312,880
"217",201401,887
"218",201402,940
"219",201403,901
"220",201404,887
"221",201405,925
"222",201406,907
"223",201407,920
"224",201408,923
"225",201409,886
"226",201410,915
"227",201411,875
"228",201412,837
"229",201501,842
"230",201502,903
"231",201503,899
"232",201504,880
"233",201505,909
"234",201506,911
"235",201507,907
"236",201508,932
"237",201509,870
"238",201510,914
"239",201511,913
"240",201512,857
"241",201601,796
"242",201602,903
"243",201603,897
"244",201604,911
